dataset,title,publisher_name,distribution_link,publication_year,publisher_short,file_forma,file_format
https://www.datenportal.bmbf.de/portal/1.9.2b,Finanzierungsstruktur (Initial Funds) der Bildungsausgaben nach Bildungsbereichen 2019,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.9.2b.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.9.2b,Finanzierungsstruktur (Initial Funds) der Bildungsausgaben nach Bildungsbereichen 2019,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.9.2b.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.9.2b,Finanzierungsstruktur (Initial Funds) der Bildungsausgaben nach Bildungsbereichen 2019,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.9.2b.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.9.2b,Finanzierungsstruktur (Initial Funds) der Bildungsausgaben nach Bildungsbereichen 2019,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/grafik-1.9.2b.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.7.6,Personal der Hochschulen nach Personalgruppen und Wissenschaftszweigen (Vollzeitäquivalent) 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.7.6.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.7.6,Personal der Hochschulen nach Personalgruppen und Wissenschaftszweigen (Vollzeitäquivalent) 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.7.6.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.7.6,Personal der Hochschulen nach Personalgruppen und Wissenschaftszweigen (Vollzeitäquivalent) 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.7.6.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.7.6,Personal der Hochschulen nach Personalgruppen und Wissenschaftszweigen (Vollzeitäquivalent) 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.7.6.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.10.2,"Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1)",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.10.2.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.10.2,"Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1)",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.10.2.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.10.2,"Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1)",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.10.2.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.5.33,Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.33.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.5.33,Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.33.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.5.33,Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.33.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.5.33,Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.33.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/0.41,"Wertschöpfung, Inlandsprodukt und Nationaleinkommen",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.41.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/0.41,"Wertschöpfung, Inlandsprodukt und Nationaleinkommen",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.41.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/0.41,"Wertschöpfung, Inlandsprodukt und Nationaleinkommen",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.41.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/0.41,"Wertschöpfung, Inlandsprodukt und Nationaleinkommen",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.41.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.10,Ausgewählte Altersgruppen der männlichen Bevölkerung insgesamt und der männlichen ausländischen Bevölkerung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.10.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.10,Ausgewählte Altersgruppen der männlichen Bevölkerung insgesamt und der männlichen ausländischen Bevölkerung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.10.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/0.10,Ausgewählte Altersgruppen der männlichen Bevölkerung insgesamt und der männlichen ausländischen Bevölkerung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.10.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/0.10,Ausgewählte Altersgruppen der männlichen Bevölkerung insgesamt und der männlichen ausländischen Bevölkerung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.10.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.13,Schüler/-innen mit sonderpädagogischem Förderbedarf an Förderschulen und allgemeinen Schulen nach Förderschwerpunkten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.13.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.3.13,Schüler/-innen mit sonderpädagogischem Förderbedarf an Förderschulen und allgemeinen Schulen nach Förderschwerpunkten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.13.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.13,Schüler/-innen mit sonderpädagogischem Förderbedarf an Förderschulen und allgemeinen Schulen nach Förderschwerpunkten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.13.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.3.13,Schüler/-innen mit sonderpädagogischem Förderbedarf an Förderschulen und allgemeinen Schulen nach Förderschwerpunkten,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.13.csv,,BMBF,csv,csv
